movieId,imdbId,tmdbId
1487,120094,16052
1500,119229,9434
1517,118655,816
1527,119116,18
1544,119567,330
1556,120179,1639
1580,119654,607
1584,118884,686
1589,118887,2142
1594,119361,14585
1595,119152,18519
1608,118571,9772
1610,99810,1669
1617,119488,2118
1625,119174,2649
1639,118842,2255
1641,119164,9427
1653,119177,782
1663,83131,10890
1673,118749,4995
1674,90329,9281
1676,120201,563
1682,120382,37165
1690,118583,8078
1693,118607,11831
1704,119217,489
1719,120255,10217
1721,120338,597
1722,120347,714
1729,119396,184
1732,118715,115
1748,118929,2666
1753,120693,9490
1784,119822,2898
1794,119574,47452
1810,119942,9440
1834,120176,29193
1840,124718,9469
1873,119683,4415
1876,120647,8656
1885,120777,9844
1894,120828,6068
1914,120321,20862
1917,120591,95
1923,129387,544
1939,36868,887
1944,45793,11426
1945,47296,654
1951,63385,17917
1952,64665,3116
1954,75148,1366
1957,82158,9443
1959,89755,606
1960,93389,746
1961,95953,380
1965,87995,13820
1968,88847,2108
1997,70047,9552
2000,93409,941
2001,97733,942
2002,104714,943
2003,87363,927
2006,120746,9342
2011,96874,165
2012,99088,196
2018,34492,3170
2019,47478,346
2020,94947,859
2022,95497,11051
2025,119558,9769
2028,120815,857
2058,120768,9631
2064,98213,1779
2065,89853,10849
2067,59113,907
2100,88161,2619
2109,79367,6471
2115,87469,87
2124,101272,2907
2125,120631,9454
2150,80801,8393
2161,88323,34584
2166,124595,10278
2174,94721,4011
2194,94226,117
2212,25452,8208
2231,128442,10220
2232,123755,431
2243,92699,12626
2245,96463,3525
2247,95593,2321
2268,104257,881
2278,122690,8195
2282,126604,11855
2290,81554,11337
2312,90830,1890
2313,80678,1955
2324,118799,637
2329,120586,73
2336,127536,4518
2348,91954,14924
2352,85244,12560
2353,120660,9798
2357,140888,666
2359,166396,10162
2374,91159,13698
2384,120595,9447
2396,138097,1934
2402,89880,1369
2403,83944,1368
2404,95956,1370
2407,88933,10328
2420,87538,1885
2424,128853,9489
2467,91605,192
2468,91306,10945
2469,91738,10013
2470,90555,9671
2471,92493,9396
2497,139462,10207
2502,151804,1542
2520,65377,10671
2529,63442,871
2539,122933,9535
2542,120735,100
2571,133093,603
2599,126886,9451
2605,137494,1844
2616,99422,8592
2617,120616,564
2628,120915,1893
2640,78346,1924
2641,81573,8536
2642,86393,9531
2643,94074,11411
2683,145660,817
2690,122541,24137
2692,130827,104
2694,142342,9032
2700,158983,9473
2701,120891,8487
2706,163651,2105
2710,185937,2667
2712,120663,345
2716,87332,620
2719,171363,11618
2723,132347,9824
2724,163187,4806
2731,53198,147
2746,91419,10776
2747,54033,24452
2761,129167,10386
2762,167404,745
2779,77663,12185
2791,80339,813
2797,94737,2280
2808,105698,9349
2816,95382,11955
2843,118843,1075
2858,169547,14
2882,120716,2290
2890,120188,6415
2916,100802,861
2918,91042,9377
2944,61578,1654
2947,58150,658
2948,57076,657
2959,137523,550
2966,166896,404
2968,81633,36819
2973,97123,11562
2985,93870,5548
2987,96438,856
2997,120601,492
3030,55630,11878
3033,94012,957
3034,70608,11886
3039,86465,1621
3072,93565,2039
3078,165859,27141
3079,178737,10399
3081,162661,2668
3083,185125,99
3088,42546,11787
3101,93010,10998
3105,99077,11005
3114,120363,863
3147,120689,497
3148,124315,1715
3159,120910,49948
3210,83929,13342
3247,105417,2005
3248,108147,6279
3252,105323,9475
3253,105793,8872
3262,105665,1923
3265,104684,11782
3275,144117,8374
3285,163978,1907
3328,165798,4816
3392,98309,11157
3404,46435,16535
3408,195685,462
3409,195714,9532
3438,100758,1498
3448,93105,801
3481,146882,243
3489,102057,879
3499,100157,1700
3510,186151,10559
3512,122459,2621
3527,93773,106
3535,144084,1359
3551,74860,10518
3578,172495,98
3581,188674,11129
3623,120755,955
3671,71230,11072
3676,74486,985
3697,100403,169
3698,93894,865
3699,88172,9663
3740,90728,6978
3751,120630,7443
3753,187393,2024
3755,177971,2133
3793,120903,36657
3826,164052,9383
3836,65938,11589
3897,181875,786
3948,212338,1597
3949,180093,641
3967,249462,71
3972,111512,12207
3977,160127,4327
3980,203019,11978
3983,203230,14295
3994,217869,9741
3996,190332,146
4002,93748,2609
4011,208092,107
4016,120917,11688
4019,181536,711
4022,162222,8358
4025,212346,1493
4027,190590,134
4034,181865,1900
4041,84434,2623
4055,194218,20637
4085,86960,90
4187,57251,38805
4200,101764,9594
4226,209144,77
4239,221027,4133
4246,243155,634
4270,209163,1734
4306,126029,808
4310,213149,676
4326,95647,1632
4327,54047,966
4361,84805,9576
4447,250494,8835
4562,96454,12582
4571,96928,1648
4613,97637,10345
4614,97659,10222
4638,163025,331
4643,133152,869
4661,98273,12150
4673,98439,9618
4678,98546,11959
4681,98621,249
4700,247638,9880
4718,252866,2770
4799,57193,11576
4816,196229,9398
4823,240890,9778
4848,166924,1018
4874,272152,167
4880,264796,11457
4881,243133,10778
4886,198781,585
4890,256380,9889
4896,241527,671
4901,266987,1535
4963,240772,161
4973,211915,194
4975,259711,1903
4979,265666,9428
4992,35423,11232
4993,120737,120
4995,268978,453
5009,248667,8489
5010,265086,855
5013,280707,5279
5025,273923,11857
5026,237534,6312
5027,99044,11595
5049,83511,150
5060,66026,651
5064,245844,11362
5074,250081,16550
5218,268380,425
5266,258000,4547
5291,42876,548
5294,264616,12149
5299,259446,8346
5349,145487,557
5377,276751,245
5378,121765,1894
5380,278500,9026
5388,278504,320
5414,280486,3132
5418,258463,2501
5438,100135,10169
5445,181689,180
5459,120912,608
5464,257044,4147
5481,295178,818
5500,88286,8764
5668,283139,10994
5669,310793,1430
5816,295297,672
5873,283530,17187
5902,268126,2757
5944,253754,201
5945,257360,2755
5952,167261,121
5954,307901,1429
5956,217505,3131
5970,102492,4032
5989,264464,640
5991,299658,1574
5992,274558,590
5995,253474,423
6218,286499,455
6281,183649,1817
6297,311289,8326
6333,290334,36658
6365,234215,604
6373,315327,310
6377,266543,12
6537,181852,296
6539,325980,22
6565,329575,4464
6711,335266,153
6793,103786,11806
6807,85959,4543
6812,100514,6723
6863,332379,1584
6870,327056,322
6874,266697,24
6889,328880,10009
6934,242653,605
6936,319343,10719
6942,314331,508
6952,348836,4970
6979,86567,860
7005,102216,10804
7007,102266,9319
7016,93692,1825
7017,105104,10538
7022,266308,3176
7143,325710,616
7147,319061,587
7153,167260,122
7173,343135,5966
7323,301357,338
7361,338013,38
7386,49833,6844
7389,60782,3591
7438,378194,393
7458,332452,652
7981,338564,10775
8131,243508,210937
8360,298148,809
8368,304141,673
8529,362227,594
8530,377752,8981
8623,93886,11584
8636,316654,558
8644,343818,2048
8665,372183,2502
8865,346156,5137
8874,365748,747
8917,372588,3989
8949,375063,9675
8957,387564,176
8961,317705,9806
8972,368891,2059
8984,349903,163
8985,359013,36648
26025,51003,18776
26479,86112,15716
26562,90319,16082
27803,369702,1913
30707,405159,70
30749,395169,205
30793,367594,118
30810,362270,421
30812,338751,2567
31374,47094,16410
31658,347149,4935
31685,386588,8488
32025,352994,26
32587,401792,187
33004,371724,7453
33493,121766,1895
33672,355702,9787
33679,356910,787
33794,372784,272
34150,120667,9738
34405,379786,16320
35836,405422,6957
37733,399146,59
37741,379725,398
38061,373469,5236
38886,367089,10707
40815,330373,674
41566,363771,411
41569,360717,254
44191,434409,752
44555,405094,582
45431,327084,7518
45517,317219,920
45668,410297,2044
45672,389860,9339
45722,383574,58
46578,449059,773
46976,420223,1262
47610,443543,1491
48045,109440,15097
48385,443453,496
48516,407887,1422
48696,404203,1440
48738,455590,1523
48780,482571,1124
49272,381061,36557
49530,450259,1372
50872,382932,2062
51255,425112,4638
51662,416449,1271
51834,416508,2977
52722,413300,559
52967,491747,1919
52973,478311,4964
52975,427327,2976
53125,449088,285
53322,496806,298
53956,795368,2196
54001,373889,675
54094,446687,11404
54259,486655,2270
54272,462538,35
54286,440963,2503
55247,758758,5915
55276,465538,4566
55805,292963,7972
55820,477348,6977
56171,385752,2268
56367,467406,7326
56757,408236,13885
57669,780536,8321
58559,468569,155
59018,857191,12473
59315,371746,1726
59369,936501,8681
59615,367882,217
59725,1000774,4564
60069,910970,10681
60684,409459,13183
61236,1185616,8885
61240,1139797,13310
61323,887883,4944
62511,383028,4960
63082,1010048,12405
63876,1013753,10139
63992,1099212,8966
64575,918927,14359
64614,1205489,13223
64839,1125849,12163
65261,876563,12429
66097,327597,14836
66371,1069238,16804
66665,1176740,19255
67267,862846,13090
68157,361748,16869
68358,796366,13475
68791,438488,534
68954,1049413,14160
69122,1119646,18785
69134,870984,17609
69844,417741,767
70286,1136608,17654
70342,1048171,14415
70862,1229360,22492
71464,1019452,12573
71520,1058017,23082
72226,432283,10315
72378,1190080,14161
72395,929632,25793
72998,499549,19995
73017,988045,10528
74458,1130884,11324
74789,1014759,12155
76093,892769,10191
78499,435761,10193
79132,1375666,27205
79293,944835,27576
80463,1285016,37799
80489,840361,23168
80969,1334260,42188
81591,947798,44214
81834,926084,12444
81932,964517,45317
82459,1403865,44264
84392,1189340,50348
85414,945513,45612
88125,1201607,12445
88129,780504,64690
88744,1318514,61791
91529,1345836,49026
92259,1675434,77338
93510,1232829,64688
93840,1259521,22970
95167,1217209,62177
95510,948470,1930
96079,1074638,37724
96501,1440232,48034
98961,1790885,97630
99114,1853728,68718
101864,1483013,75612
106100,790636,152532
106782,993846,106646
106920,1798709,152601
108932,1490017,137106
108945,1234721,97020
109374,2278388,120467
109487,816692,157336
110110,2567712,209276
111759,1631867,137113
112175,1646971,82702
112183,2562232,194662
112552,2582802,244786
112556,2267998,210577
112852,2015381,118340
113348,1291150,98566
115149,2911666,245891
115210,2713180,228150
115569,2872718,242582
115617,2245084,177572
115713,470752,264660
116797,2084970,205596
118900,2305051,228970
120799,1340138,87101
122904,1431045,293660
122914,4154796,299534
122918,3896198,283995
134130,3659388,286217
134853,2096673,150540
135569,2660888,188927
138036,1638355,203801
138210,4172430,300671
139855,2401878,291270
142488,1895587,314365
143385,3682448,296098
148626,1596363,318846
155288,2057392,333352
155509,2091935,333385
157699,3774114,302401
158238,3799694,290250
159415,4034354,347031
160980,3263904,363676
163134,5311514,372058
163645,2119532,324786
164179,2543164,329865
164909,3783958,313369
167544,4572514,388399
168252,3315342,263115
168492,5726616,398818
175303,1396484,346364
176751,3532216,337170
177615,4925292,391713
177763,3402236,392044
182823,5519340,400106
183837,5083738,375262
183897,5104604,399174
185029,6644200,447332
187541,3606756,260513
187593,5463162,383498
188773,8075192,505192
189713,7349662,487558
191489,6850820,458594
192385,1517451,332562
192803,1727824,424694
193065,6155172,426426
194448,6966692,490132
196417,2386490,166428
197691,9412098,567860
197889,5316540,460321
200042,5952594,500860
200838,5884052,447404
201340,7984734,503919
201646,8772262,530385
202439,6751668,496243
205156,2584384,515001
205297,1025100,453405
207313,8946378,546554
207830,6450804,290859
209595,6149154,505707
210271,8106534,509967
210861,8367814,522627
212373,7939766,500840
213914,6048922,516486
218867,8784956,539885
219444,3833480,531876
235509,10451914,775996
247150,9203694,559581
250010,14544192,823754
268642,1877830,414906
270698,6710474,545611
272417,8178634,579974
278420,17076046,928344
278446,11813216,674324
279412,14641788,829280
280236,10999120,632856
280868,1488589,555604
